"PRINCIPAL PARTS","GLOSS"
"antehāc","before this time, before now"
"āvertō avertere avertī aversus","to turn away"
"clāvis –is f.","a key"
"comes comitis m. or f.","companion"
"comitor comitārī comitātus sum","to accompany"
"contineō continēre continuī contentus","to contain, restrain"
"dīmittō dīmittere dīmīsī dimīssus","to send away"
"facile","easily"
"factum factī n.","deed"
"fateor fatērī fassus sum","to confess, admit"
"fortasse or fortassis","perhaps"
"herī","yesterday or here"
"hinc","from here, hence"
"illinc","from there"
"inclūdō inclūdere inclūsī inclūsus","to enclose"
"inscrībō inscrībere inscrīpsī inscrīptus","to write on"
"integer integra integrum","untouched, fresh, complete"
"laus laudis f.","praise, glory"
"mereō merēre meruī meritum","to earn, deserve; serve as a soldier"
"negō negāre negāvī negātus","to deny, refuse"
"ob","on account of"
"palleō –ēre –uī","to be pale"
"pallidus –a –um","pale, ghastly"
"perdō perdere perdidī perditus","to destroy"
"plānē","clearly"
"plānus –a –um","level, flat"
"posthāc","hereafter"
"prōmissum –ī n.","promise"
"prōmittō prōmittere prōmīsī prōmissus","to send forth, let loose; promise"
"pudeō –ēre –duī –ditus","to make ashamed"
"pudor pudōris m.","decency"
"quisnam (quīnam) quaenam quidnam","who?"
"rubeō rubēre rubuī","to be red"
"salūs salūtis f.","health"
"superior superius","higher"
"trādō trādere trādidī trāditus","to hand over; report"
"verber –eris n.","whip; a beating or blow with a whip"
"umquam","ever"
"vultus vultūs m.","expression"
